1,73349,,1
2,15847,,2
3,88135,,3
4,15491,,4
5,91583,,5
6,33326,,6
7,69891,,7
8,78902,,8
9,83415,,9
10,99951,,10
11,81796,,11
12,48952,,12
13,29113,,13
14,89631,,14
15,42616,,15
16,25061,,16
17,55683,,17
18,88228,,18
19,24067,,19
20,61242,,20
21,87505,,21
22,76336,,22
23,16739,,23
24,24191,,24
25,15408,,25
26,77412,,26
27,42773,,27
28,70719,,28
29,84986,,29
30,17924,,30
31,25182,,31
32,20340,,32
33,19273,,33
34,92375,,34
35,63404,,35
36,78267,,36
37,73238,,37
38,74020,,38
39,24348,,39
40,61440,,40
41,49722,,41
42,52538,,42
43,58469,,43
44,27391,,44
45,71410,,45
46,90261,,46
47,47082,,47
48,33098,,48
49,24194,,49
50,70667,,50
